Organization,Vote 2021-22 / Statutory - Description,2017-18 - Total budgetary authority available for use,2017-18 - Expenditures,2018-19 - Total budgetary authority available for use,2018-19 - Expenditures,2019-20 - Total budgetary authority available for use,2019-20 - Expenditures,2020-21 - Total budgetary authority available for use,2020-21 - Expenditures,2021-22 - Total budgetary authority available for use,2021-22 - Expenditures
Employment and Social Development Canada,Debt Forgiveness - 10,0,0,163501480,162154347,0,0,25065,24904,170358003,168772499
Employment and Social Development Canada,Budget Implementation Vote - 10,0,0,0,0,233363,0,0,0,0,0
Employment and Social Development Canada,Debt Forgiveness - 15,0,0,0,0,0,0,188099201,185536473,0,0
Employment and Social Development Canada,Budget Implementation Vote - 15,0,0,0,0,0,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 20,0,0,0,0,85551,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 25,0,0,0,0,18039680,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 30,0,0,0,0,1150766,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 35,0,0,0,0,6821178,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 40,0,0,0,0,653592,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 45,0,0,0,0,1000000,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 50,0,0,0,0,0,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 55,0,0,0,0,13843150,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 60,0,0,0,0,60450,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 65,0,0,0,0,0,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 70,0,0,0,0,2276410,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 75,0,0,0,0,0,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 80,0,0,0,0,0,0,0,0,0,0
Employment and Social Development Canada,Budget Implementation Vote - 85,0,0,0,0,308738,0,0,0,0,0
Employment and Social Development Canada,Debt Forgiveness - 90,0,0,0,0,180432220,179127425,0,0,0,0
Employment and Social Development Canada,Allowance payments (Old Age Security Act),544791267.99,544791267.99,562520365,562520365,555643258,555643258,572156858,572156858,528908824,528908824
Employment and Social Development Canada,Benefit enhancement measures for the Employment Insurance Operating Account,0,0,0,0,0,0,27331431907,27331431907,-94724299,-94724299
Employment and Social Development Canada,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,149550677,149550677.09,152650737,152650737,137353313,137353313,139813480,139813480,185520238,185520238
Employment and Social Development Canada,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,338169730,338169730.24,360497495,360497495,371028405,371028405,406524376,406524376,469040662,469040662
Employment and Social Development Canada,Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,899290584,899290583.66,910669269,910669269,969415697,969415697,1016678793,1016678793,1089549480,1089549480
Employment and Social Development Canada,Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families,164812403,164812403.07,166151473,166151473,216239609,216239609,156403301,156403301,142304157,142304157
Employment and Social Development Canada,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,1322960042.7,1322960042.7,1537830720,1537830720,1583022844,1583022844,2920803871,2920803871,3154531140,3154531140
Employment and Social Development Canada,Civil Service Insurance actuarial liability adjustments,0,0,0,0,0,0,0,0,0,0
Employment and Social Development Canada,Contributions to employee benefit plans,249363078,249363077.82,244368791,244368791,263938694,263938694,1144519450,1144519450,397781437,397781437
Employment and Social Development Canada,Energy Cost Benefit,-125,-125,0,0,-125,-125,0,0,0,0
Employment and Social Development Canada,Guaranteed Income Supplement Payments (Old Age Security Act),11658538967.84,11658538967.84,12404699571,12404699571,13007928280,13007928280,13685088912,13685088912,14004834366,14004834366
Employment and Social Development Canada,Old Age Security payments (Old Age Security Act),38409875247,38409875246.99,40424123826,40424123826,42706488728,42706488728,44382661808,44382661808,46221407443,46221407443
Employment and Social Development Canada,"Payments for the Canada Emergency Response Benefit pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Employment and Social Development Canada,Payments for the Canada Worker Lockdown Benefit pursuant to the Canada Worker Lockdown Benefit Act,0,0,0,0,0,0,0,0,946129117,946129117
Employment and Social Development Canada,Payments for the Temporary Foreign Worker Program pursuant to the the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,2777000,2777000,-20000,-20000
Employment and Social Development Canada,Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act),33449719,33449719.24,31625283,31625283,29245290,29245290,15162821,15162821,34122519,34122519
Employment and Social Development Canada,Payments pursuant to the Canada Recovery Benefits Act,0,0,0,0,0,0,16850095779,16850095779,16581988533,16581988533
Employment and Social Development Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,4755547878,4755547878,48868264246,48868264246,0,0
Employment and Social Development Canada,Payments related to the direct financing arrangement under the Apprentice Loans Act,2933298,2933298.55,2635167,2635167,2182482,2182482,1541198,1541198,2407688,2407688
Employment and Social Development Canada,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,797826410,797826409.72,964748868,964748868,934933044,934933044,749443316,749443316,1223515704,1223515704
Employment and Social Development Canada,Payments to the provinces for Early Learning and Child Care,0,0,0,0,0,0,0,0,2648082433,2648082433
Employment and Social Development Canada,Refunds of amounts credited to revenues in previous years,823191,823190.93,104453,104453,884244,884244,1417056,1417056,2860079,2860079
Employment and Social Development Canada,Salary and Motor Car Allowance,169231,169230.6,232570,232570,263228,263228,269600,269600,274105,274105
Employment and Social Development Canada,Spending of Revenues pursuant to subsection 5.2(2) of the Department of Employment and Social Development Act,0,0,2412592,2412592,165958373,165937221,180277981,180137649,225965376,225932000
Employment and Social Development Canada,Spending of proceeds from the disposal of surplus Crown assets,246632,196992,138074,85300,158996,55534,219385,98931,321391,59898
Employment and Social Development Canada,Spending pursuant to section 12(4) of the Canada Education Savings Act,2667186,1650952,2002286,1014942,1954301,1031548,1802361,779798,1749238,879608
Employment and Social Development Canada,The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,7510934,7510934.37,6003251,6003251,4524088,4524088,10023033,10023033,788838,788838
Employment and Social Development Canada,The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,0,0,0,0,48476,48476,74873,74873,8463,8463
Employment and Social Development Canada,The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,-3029064,-3029063.96,-2397308,-2397308,-2228515,-2228515,-1071607,-1071607,-1412111,-1412111
Employment and Social Development Canada,Transfer Payments in Connection with the Budget Implementation Act,0,0,0,0,0,0,0,0,1809727560,1809727560
Employment and Social Development Canada,Universal Child Care Benefit (Universal Child Care Benefit Act),12517048,12517048.45,4642173,4642173,2994054,2994054,-684860,-684860,3699991,3699991
Employment and Social Development Canada,"Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",16088897,16088897.35,64850095,64850095,54113581,54113581,60577250,60577250,11688465,11688465
International Development Research Centre,Payments to Crown Corps - 1,139951886,139951886,140366150,140366150,142907117,142907117,145652683,145652683,155251325,155251325
International Joint Commission (Canadian Section),Operating/Program - 1,9866742,6924451,12754437,8008046,11177071,8404880,12711659,8324413,12188333,7723488
International Joint Commission (Canadian Section),Contributions to employee benefit plans,494837,494837.45,494559,494559,526799,526799,650826,650826,595110,595110
Crown-Indigenous Relations and Northern Affairs Canada,Operating/Program - 1,952086512,757396283,1034469316,801731425,3327271854,2480236427,2416407340,1386741067,2811338015,1873249356
Crown-Indigenous Relations and Northern Affairs Canada,Capital - 5,52015211,28783127,25464612,17373082,9426629,5917332,4188709,2423122,1944416,1422055
Crown-Indigenous Relations and Northern Affairs Canada,Debt Forgiveness - 7,526408,523804,0,0,0,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Debt Forgiveness - 9,100115,100114,0,0,0,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Grants & Contributions - 10,7271847632,7084289390,3957822186,3503233441,3531631271,2746587869,4288345940,3838444460,4223801797,2923086145
Crown-Indigenous Relations and Northern Affairs Canada,Debt Forgiveness - 25,0,0,0,0,0,0,0,0,515307,505411
Crown-Indigenous Relations and Northern Affairs Canada,Budget Implementation Vote - 25,0,0,0,0,0,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Budget Implementation Vote - 30,0,0,0,0,0,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Budget Implementation Vote - 35,0,0,0,0,7758176,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Budget Implementation Vote - 40,0,0,0,0,4864,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Budget Implementation Vote - 45,0,0,0,0,0,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Budget Implementation Vote - 50,0,0,0,0,25777783,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Budget Implementation Vote - 55,0,0,0,0,3935592,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Debt Forgiveness - 60,0,0,0,0,919028970,914022919,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Climate Action Support,0,0,0,0,1192455,1192455,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Contributions in connection with First Nations infrastructure,8548450,8548450.4,0,0,0,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Contributions to employee benefit plans,43811162,43811162.13,40645588,40645588,22055023,22055023,27481131,27481131,26505895,26505895
Crown-Indigenous Relations and Northern Affairs Canada,Court Awards,37790842,37790842.27,9084157,9084157,11518818,11518818,41000,41000,1550000,1550000
Crown-Indigenous Relations and Northern Affairs Canada,Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts,62777288,62777288.24,55908222,55908222,53284653,53284653,20569162,20569162,5063955,5063955
Crown-Indigenous Relations and Northern Affairs Canada,Grassy Narrows and Islington Bands Mercury Disability Board,0,0,0,0,0,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Indian Annuities Treaty payments,1966368,1966367.65,2099405,2099405,1745734,1745734,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,114900000,114900000,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Payments to comprehensive claim beneficiaries in compensation for resource royalties,1673606,1673606,480209,480209,0,0,0,0,0,0
Crown-Indigenous Relations and Northern Affairs Canada,Refunds of amounts credited to revenues in previous years,1330169,1330168.94,112330,112330,577230,577230,243195,243195,572928,572928
Crown-Indigenous Relations and Northern Affairs Canada,Salary and Motor Car Allowance,85767,85766.69,86000,86000,119341,119341,178400,178400,181400,181400
Crown-Indigenous Relations and Northern Affairs Canada,Spending of proceeds from the disposal of surplus Crown assets,3171633,345725.39,2372288,903446,1142567,695347,46629,20496,25580,5832
Department of Indigenous Services,Operating/Program - 1,0,0,1894996163,1740473629,2171732201,2032419945,2373377194,2071838085,3908927599,2408082431
Department of Indigenous Services,Operating/Program - 3,777604722,705938292,0,0,0,0,0,0,0,0
Department of Indigenous Services,Capital - 5,0,0,8562632,6554077,9573427,7939828,25112860,6053885,17393428,4757983
Department of Indigenous Services,Capital - 7,4380354,3915458,0,0,0,0,0,0,0,0
Department of Indigenous Services,Grants & Contributions - 10,0,0,9860450633,9758542662,11461445963,11098367963,13716793773,12503003011,17711090891,15786101021
Department of Indigenous Services,Grants & Contributions - 13,3600228503,3528465874,0,0,0,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 15,0,0,0,0,197874,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 20,0,0,0,0,4690991,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 25,0,0,0,0,0,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 30,0,0,0,0,91404,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 35,0,0,0,0,0,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 40,0,0,0,0,5316600,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 45,0,0,0,0,547334,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 50,0,0,0,0,3700000,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 55,0,0,0,0,4544060,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 60,0,0,0,0,0,0,0,0,0,0
Department of Indigenous Services,Budget Implementation Vote - 65,0,0,0,0,0,0,0,0,0,0
Department of Indigenous Services,Climate Action Support,0,0,0,0,1640641,1460947,179694,179694,0,0
Department of Indigenous Services,Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),19518645.6,19518645.6,29403625,29403625,59088073,59088073,29684113,29684113,60717505,60717505
Department of Indigenous Services,Contributions to employee benefit plans,29939140,29939139.67,51806530,51806530,73554786,73554786,88689395,88689395,89439348,89439348
Department of Indigenous Services,Court Awards,19000,19000,0,0,0,0,232829,232829,584996,584996
Department of Indigenous Services,Indian Annuities Treaty payments,10,10,0,0,510020,510020,282228,282228,562255,562255
Department of Indigenous Services,Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development,0,0,74614,74614,0,0,0,0,0,0
Department of Indigenous Services,"Payment from the Consolidated Revenue Fund of guaranteed loans issued out of the Indian economic development account (authorized limit $60,000,000). Change in Ministry responsibility (Indian Affairs and Northern Development)",32490796,0,32490796,0,32490796,0,32490796,0,32490796,0
Department of Indigenous Services,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,1650656826,1650656826,0,0
Department of Indigenous Services,Refunds of amounts credited to revenues in previous years,0,0,0,0,43,43,0,0,0,0
Department of Indigenous Services,Salary and Motor Car Allowance,0,0,1855,1855,65625,65625,89200,89200,90700,90700
Department of Indigenous Services,Spending of proceeds from the disposal of surplus Crown assets,64771,2184.12,550383,160467,3540976,1141707,4007573,2536250,2863254,1473353
Invest in Canada Hub,Operating/Program - 1,11103293,2032683,22758599,10718935,37166761,26096450,36094386,29622107,35986134,34487041
Offices of the Information and Privacy Commissioners of Canada,Operating/Program - 1,12634041,12507692,13723662,13317275,14705641,13146702,15460887,14504595,16920934,16150614
Offices of the Information and Privacy Commissioners of Canada,Operating/Program - 5,23879678,23237576,23981227,22987956,27591920,25947764,29296458,28500006,28360957,27581381
Offices of the Information and Privacy Commissioners of Canada,Budget Implementation Vote - 10,0,0,0,0,459147,0,0,0,0,0
Offices of the Information and Privacy Commissioners of Canada,Budget Implementation Vote - 15,0,0,0,0,1050803,0,0,0,0,0
Offices of the Information and Privacy Commissioners of Canada,Contributions to employee benefit plans,3572741,3572740.65,3433561,3433561,3829119,3829119,4939623,4939623,4902242,4902242
Offices of the Information and Privacy Commissioners of Canada,Spending of proceeds from the disposal of surplus Crown assets,9717,0,63,0,23593,222,25000,0,8938,8198
Immigration and Refugee Board of Canada,Operating/Program - 1,124732124,118363648,157714983,142999378,201460087,181258241,269979388,219871701,270047359,238296893
Immigration and Refugee Board of Canada,Budget Implementation Vote - 5,0,0,0,0,9480401,0,0,0,0,0
Immigration and Refugee Board of Canada,Contributions to employee benefit plans,13328068,13328067.84,15358289,15358289,19148361,19148361,24887045,24887045,25954140,25954140
Immigration and Refugee Board of Canada,Spending of proceeds from the disposal of surplus Crown assets,667,666.83,968,968,703,703,243,243,1026,1026
"Innovation, Science and Economic Development Canada",Operating/Program - 1,416542926,409848727,434879136,429858463,481428884,476015192,525626646,501015509,595321628,564606696
"Innovation, Science and Economic Development Canada",Capital - 5,17575661,16925527,8551968,7562323,9232810,7869741,9643290,9103002,56506431,16594785
"Innovation, Science and Economic Development Canada",Grants & Contributions - 10,2225321742,1773682271,2520600972,1679515444,2369573160,1740264099,3186014879,2136396422,3925882807,2321941169
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 15,0,0,0,0,4023056,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 20,0,0,0,0,248990,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 25,0,0,0,0,1266718,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 30,0,0,0,0,964000,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 35,0,0,0,0,283628,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 40,0,0,0,0,0,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 45,0,0,0,0,2648333,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 50,0,0,0,0,0,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 55,0,0,0,0,47093,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Budget Implementation Vote - 60,0,0,0,0,34742,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Canadian Intellectual Property Office Revolving Fund,169488519,18990173.58,150498345,16130992,134367353,19600283,114767070,14186051,100581019,17128598
"Innovation, Science and Economic Development Canada",Contributions to employee benefit plans,53354962,53354961.63,54406229,54406229,57619579,57619579,63807327,63807327,65875947,65875947
"Innovation, Science and Economic Development Canada",Contributions to the Canadian Institute for Advanced Research - Pan Canadian Artificial Intelligence,7500000,7500000,21000000,21000000,17619000,17619000,21562650,21562650,25849032,25849032
"Innovation, Science and Economic Development Canada",Grant and Contribution to Genome Canada,23700000,23700000,20300000,20300000,11400000,11400000,0,0,0,0
"Innovation, Science and Economic Development Canada",Liabilities under the Canada Small Business Financing Act,51300219,51300219.14,46227424,46227424,54686824,54686824,86108346,86108346,82146609,82146609
"Innovation, Science and Economic Development Canada","Payments for the Community Futures Network pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,20139442,20139442,0,0
"Innovation, Science and Economic Development Canada","Payments to provide financing support to small and medium-sized businesses pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
"Innovation, Science and Economic Development Canada",Refunds of amounts credited to revenues in previous years,316337,316337.61,530621,530621,528400,528400,514105,514105,411982,411982
"Innovation, Science and Economic Development Canada",Salary and Motor Car Allowance,88600,88600.08,268943,268943,289236,289236,178799,178799,222117,222117
"Innovation, Science and Economic Development Canada",Spending of proceeds from the disposal of surplus Crown assets,386331,231464.98,405276,200632,386879,215230,252498,165860,161828,86809
The Jacques-Cartier and Champlain Bridges Inc.,Payments to Crown Corps - 1,331777000,179229642,355284000,166797775,322063784,155646771,327620136,232073141,324803854,235144062
Department of Justice Canada,Operating/Program - 1,272264040,252800841,316908721,311018501,306024384,295422398,348772627,299754096,308227218,292054845
Department of Justice Canada,Grants & Contributions - 5,394315319,387257144,408607296,400194750,451303800,440049591,458202423,447525686,545609778,529544281
Department of Justice Canada,Budget Implementation Vote - 10,0,0,0,0,2677915,0,0,0,0,0
Department of Justice Canada,Budget Implementation Vote - 15,0,0,0,0,3049,0,0,0,0,0
Department of Justice Canada,Budget Implementation Vote - 20,0,0,0,0,0,0,0,0,0,0
Department of Justice Canada,Budget Implementation Vote - 25,0,0,0,0,0,0,0,0,0,0
Department of Justice Canada,Contributions to employee benefit plans,66857913,66857912.62,77504436,77504436,77161111,77161111,85435552,85435552,85726293,85726293
Department of Justice Canada,Refunds of amounts credited to revenues in previous years,0,0,0,0,0,0,16242,16242,250,250
Department of Justice Canada,Salary and Motor Car Allowance,84600,84600,86000,86000,87500,87500,89200,89200,90700,90700
Department of Justice Canada,Spending of proceeds from the disposal of surplus Crown assets,5231,1573,4092,3658,32803,434,33603,32369,2197,1234
Library and Archives Canada,Operating/Program - 1,108692368,105074404,111705671,104479787,116864806,112516159,116844827,107453275,110790794,106306184
Library and Archives Canada,Capital - 5,14397864,11459359,12827066,9216503,44767511,9943623,22181451,10450060,40841157,14773239
Library and Archives Canada,Contributions to employee benefit plans,10870958,10870958.3,10905337,10905337,11890867,11890867,12473019,12473019,10721911,10721911
Library and Archives Canada,Refunds of amounts credited to revenues in previous years,0,0,17401,17401,0,0,0,0,0,0
Library and Archives Canada,Spending of proceeds from the disposal of surplus Crown assets,23164,12028,14682,11136,6398,3546,4790,2852,18452,1938
Leaders’ Debates Commission,Operating/Program - 1,0,0,257949,127247,4520775,3636336,5373884,315520,5247950,3141253
Leaders’ Debates Commission,Contributions to employee benefit plans,0,0,14546,14546,96534,96534,15228,15228,65143,65143
Library of Parliament,Operating/Program - 1,43754877,41112174,43409962,42881490,45702995,44227876,47955217,43407851,48660916,45069415
Library of Parliament,Contributions to employee benefit plans,4519938,4519937.95,4647901,4647901,5051268,5051268,5067491,5067491,5121531,5121531
Military Police Complaints Commission of Canada,Operating/Program - 1,4454113,4175963,4585790,4373110,4580279,4309492,4669696,4479351,4625078,4336250
Military Police Complaints Commission of Canada,Contributions to employee benefit plans,359735,359735.31,402395,402395,421740,421740,467324,467324,438567,438567
Military Police Complaints Commission of Canada,Spending of proceeds from the disposal of surplus Crown assets,154,0,115,0,50,0,78,0,78,0
National Arts Centre Corporation,Payments to Crown Corps - 1,141324356,141324356,35439021,35439021,35270142,35270142,41038129,41038129,59920409,59920409
National Arts Centre Corporation,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,18200000,18200000,0,0
The National Battlefields Commission,Operating/Program - 1,7935815,6756994,7849830,7772346,7304514,7229661,7091302,6552597,12177974,10852211
The National Battlefields Commission,Contributions to employee benefit plans,477747,477747.33,519194,519194,521641,521641,464737,464737,626249,626249
The National Battlefields Commission,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,2516943,2516942.75,2567177,2567177,2627049,2627049,1286499,1286499,1723071,1723071
The National Battlefields Commission,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,1112328,1112328,0,0
National Capital Commission,Payments to Crown Corps - 1,68366358,66130358,72193016,72193016,75027120,75027120,83394839,83394839,74768128,74768128
National Capital Commission,Payments to Crown Corps - 5,24894870,23499870,40311524,37295000,62452816,62452816,70318549,70318548,116945549,116945549
National Defence,Operating/Program - 1,16050430318,15560133719,16071130527,15739904501,16930205666,16385307841,17188161133,16839291341,18315760303,17026335819
National Defence,Capital - 5,3885528229,3722931316,4211741312,4072188982,4455248004,4164429282,5808835114,4953763025,5797367581,4641317354
National Defence,Grants & Contributions - 10,177003422,152820308,210302431,207705310,222589645,222587777,279590903,263295574,344013167,313285109
National Defence,Operating/Program - 15,0,0,0,0,435458107,417198950,423388673,417577865,532281864,517142045
National Defence,Debt Forgiveness - 15,0,0,15381,0,0,0,0,0,0,0
National Defence,Debt Forgiveness - 20,0,0,174,0,0,0,17188,0,0,0
National Defence,Budget Implementation Vote - 20,0,0,0,0,310769,0,0,0,0,0
National Defence,Debt Forgiveness - 25,0,0,0,0,0,0,16686,0,0,0
National Defence,Budget Implementation Vote - 25,0,0,0,0,63037000,0,0,0,0,0
National Defence,Budget Implementation Vote - 30,0,0,0,0,4483609,0,0,0,0,0
National Defence,Budget Implementation Vote - 35,0,0,0,0,9059899,0,0,0,0,0
National Defence,Contributions to employee benefit plans,269776368,269776368.26,282341896,282341896,292333237,292333237,320321132,320321132,307511604,307511604
National Defence,Contributions to employee benefit plans (Members of the Military),3150988816,3150988815.97,1283660471,1283660471,1321615141,1321615141,4016577703,4016577703,1312114523,1312114523
National Defence,Losses on Foreign Exchange,492327,492327.4,4625455,4625455,7920184,7920184,28088,28088,5625336,5625336
National Defence,"Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",22684,22684,25277,25277,25833,25833,26265,26265,8820,8820
National Defence,Payments under Parts I-IV of the Defence Services Pension Continuation Act,316101,316100.97,278766,278766,225142,225142,167059,167059,135276,135276
National Defence,Payments under the Supplementary Retirement Benefits Act,1485401,1485400.7,1302454,1302454,1043008,1043008,789862,789862,626966,626966
National Defence,Salary and Motor Car Allowance,84600,84600,86000,86000,87500,87500,89200,89200,90700,90700
National Defence,Spending of proceeds from the disposal of surplus Crown assets,41808529,18035080.82,40199109,23822800,33312268,26664442,15553419,15110723,19673049,1951409
Canada Energy Regulator,Operating/Program - 1,90229658,85502958,91398657,84475487.98,99575527,87599971,96713909,88342824,101282008,98366011
Canada Energy Regulator,Budget Implementation Vote - 5,0,0,0,0,0,0,0,0,0,0
Canada Energy Regulator,Contributions to employee benefit plans,8330032,8330031.61,8920479,8920479,10397019,10397019,10248179,10248179,11003342,11003342
Canada Energy Regulator,Payment pursuant to section 24(1) of the Financial Administration Act,0,0,14710000,14710000,0,0,1241925,1241925,0,0
Canada Energy Regulator,Spending of proceeds from the disposal of surplus Crown assets,10629,0,10687,0,898,0,999,0,209,0
National Film Board,Operating/Program - 1,79913025,67346477,78775700,70931356,74322253,71471046,72905667,71466546,72849995,69247110
National Film Board,National Film Board Revolving Fund,4215530,-992185.8,5207716,-435358,14547713,4439258,10108455,283376,11503079,89589
National Film Board,Refunds of amounts credited to revenues in previous years,0,0,14136,14136,0,0,0,0,0,0
National Gallery of Canada,Payments to Crown Corps - 1,47063243,41413243,43461041,43461041,39170830,39170830,41681928,41681928,44002341,44002341
National Gallery of Canada,Payments to Crown Corps - 5,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000
National Gallery of Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,4808711,4808711,0,0
Canada Science and Technology Museum,Payments to Crown Corps - 1,145277576,145277576,30242918,30242918,30936832,30936832,33205991,33205991,43173183,43173183
Canada Science and Technology Museum,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,5338974,5338974,0,0
Northern Pipeline Agency Canada,Operating/Program - 1,465000,221805,465000,226882,1055000,234992,1055000,228027,540000,248085
Northern Pipeline Agency Canada,Contributions to employee benefit plans,4001,4000.85,3599,3599,3475,3475,8142,8142,7607,7607
Northern Pipeline Agency Canada,Payment pursuant to section 24(1) of the Financial Administration Act,5315360,5315359.96,0,0,0,0,0,0,0,0
Parole Board of Canada,Operating/Program - 1,44294350,42038492,45688708,44054015,45980633,45337810,52839002,50927331,58278649,52272398
Parole Board of Canada,Contributions to employee benefit plans,5679207,5679206.61,5696469,5696469,6118468,6118468,6762866,6762866,6446644,6446644
Parole Board of Canada,Court Awards,0,0,0,0,1650,1650,6585,6585,8725,8725
Parole Board of Canada,Refunds of amounts credited to revenues in previous years,4567,4567,3786,3786,631,631,631,631,645,645
Parole Board of Canada,Spending of proceeds from the disposal of surplus Crown assets,7558,7558.39,13621,0,30232,30232,47550,47550,63892,24406
Natural Resources Canada,Operating/Program - 1,570835668,556633185,592380665,582670709,622682865,609326261,647088023,610014093,814329596,645384245
Natural Resources Canada,Capital - 5,69182483,51020288,32071964,25287927,17142879,16036366,16559513,12558619,34378468,20564097
Natural Resources Canada,Grants & Contributions - 10,413910621,381082400,437572999,333045920,522629163,415597935,823663615,472196692,1722176108,848056583
Natural Resources Canada,Budget Implementation Vote - 15,0,0,0,0,131402,0,0,0,0,0
Natural Resources Canada,Budget Implementation Vote - 20,0,0,0,0,717249,0,0,0,0,0
